#,Record ID,Power Almanac Account ID,Role,Title,Person ID,First Name,Last Name,Email Address,Phone Number,Phone Number Ext,Street Address or PO Box Number,Suite Number,City,State,Zip Code,Government Category,Government Designated Name,Government Place Name,Government Category Name,Government County Location,Government Web Address,Government Main Phone Number,Government Street Address,Government City,Government State,Government Zip Code,Population,Last Verified Date,Update Status
1,201102002000000-115-0KOWZX,201102002000000,Head of Water Supply,Water Superintendent,201102002000000-85DFFAC,[redacted],[redacted],[redacted],[redacted],,22420 Tracks Lane,,Andalusia,AL,"=""36420""",county,Covington County,Covington,County,Covington,http://www.covcounty.com,334-428-2610,260 Hillcrest Drive,Andalusia,AL,"=""36420""",37096.0,10-Mar-2023,SAME
2,201102202200000-115-0KOWZX,201102202200000,Head of Water Supply,Water Director,201102202200000-E02E126,[redacted],[redacted],[redacted],[redacted],,P.O. Box 1084,,Cullman,AL,"=""35055""",county,Cullman County,Cullman,County,Cullman,http://www.co.cullman.al.us/,258-775-4878,500 2nd Avenue SW,Cullman,AL,"=""35055""",83345.0,20-Jan-2023,SAME
3,201103303300000-115-0KOWZX,201103303300000,Head of Water Supply,Water Manager,201103303300000-85EF984,[redacted],[redacted],[redacted],[redacted],,1001 Main Street,,Greensboro,AL,"=""36744""",county,Hale County,Hale,County,Hale,http://www.halecountyal.com/,334-624-8740,1001 Main Street,Greensboro,AL,"=""36744""",14754.0,17-Mar-2023,SAME
4,201104404400000-115-0KOWZX,201104404400000,Head of Water Supply,Chief Water Operator,201104404400000-5EB7D68,[redacted],[redacted],[redacted],[redacted],,101 East Rosa Parks Avenue,,Tuskegee,AL,"=""36083""",county,Macon County,Macon,County,Macon,http://maconalabama.com,334-727-5120,101 East Rosa Parks Avenue,Tuskegee,AL,"=""36083""",18437.0,10-Mar-2023,SAME
5,201104504500000-115-0KOWZX,201104504500000,Head of Water Supply,Assistant County Engineer,201104504500000-43129A3,[redacted],[redacted],[redacted],[redacted],,266-B Shields Road,,Huntsville,AL,"=""35811""",county,Madison County,Madison,County,Madison,https://www.madisoncountyal.gov/,256-532-3300,100 North Side Square,Huntsville,AL,"=""35801""",367686.0,24-Mar-2023,SAME
6,201104704700000-115-0KOWZX,201104704700000,Head of Water Supply,Water and Sewer Superintendent,201104704700000-D78F1E2,[redacted],[redacted],[redacted],[redacted],,119 Military Street North,,Hamilton,AL,"=""35570""",county,Marion County,Marion,County,Marion,No Website Found,205-921-3172,119 Military Street North,Hamilton,AL,"=""35570""",29818.0,10-Mar-2023,SAME
7,201104904900000-115-0KOWZX,201104904900000,Head of Water Supply,Public Works Director,201104904900000-D34D943,[redacted],[redacted],[redacted],[redacted],,P O Box 1443,,Mobile,AL,"=""36633""",county,Mobile County,Mobile,County,Mobile,http://mobilecountyal.gov/,251-574-5077,205 Government Street,Mobile,AL,"=""36633""",413977.0,10-Mar-2023,SAME
8,201105905900000-115-0KOWZX,201105905900000,Head of Water Supply,Water Services Manager,201105905900000-2C26902,[redacted],[redacted],[redacted],[redacted],,PO Box 467,,Columbiana,AL,"=""35051""",county,Shelby County,Shelby,County,Shelby,http://www.shelbyal.com/,205-670-6500,200 West College Street,Columbiana,AL,"=""35051""",216350.0,10-Mar-2023,SAME
9,201106106100000-115-0KOWZX,201106106100000,Head of Water Supply,Water Manager,201106106100000-21C2D0D,[redacted],[redacted],[redacted],[redacted],,1 Court Square,,Talladega,AL,"=""35160""",county,Talladega County,Talladega,County,Talladega,http://talladegacountyal.org/,256-362-1357,1 Court Square,Talladega,AL,"=""35160""",80244.0,10-Mar-2023,SAME
10,201200200400000-115-0KOWZX,201200200400000,Head of Water Supply,Water and Sewer Director,201200200400000-E5EFA85,[redacted],[redacted],[redacted],[redacted],,PO Drawer 429,,Fairhope,AL,"=""36532""",municipality,City of Fairhope,Fairhope,City,Baldwin,http://www.fairhopeal.gov,251-928-2136,161 North Section Street,Fairhope,AL,"=""36532""",22035.0,24-Mar-2023,SAME
