#,Record ID,Power Almanac Account ID,Role,Title,Person ID,First Name,Last Name,Email Address,Phone Number,Phone Number Ext,Street Address or PO Box Number,Suite Number,City,State,Zip Code,Government Category,Government Designated Name,Government Place Name,Government Category Name,Government County Location,Government Web Address,Government Main Phone Number,Government Street Address,Government City,Government State,Government Zip Code,Population,Last Verified Date,Update Status
1,201100100100000-119-QNK9F2,201100100100000,Head of Facilities Management,County Engineer,201100100100000-CEEE80C,[redacted],[redacted],[redacted],[redacted],,511 West Fourth Street,,Prattville,AL,"=""36067""",county,Autauga County,Autauga,County,Autauga,http://www.autaugaco.org/,334-358-6700,135 North Court Street,Prattville,AL,"=""36067""",55639.0,10-Mar-2023,SAME
2,201100200200000-119-QNK9F2,201100200200000,Head of Facilities Management,Facilities Maintenance Coordinator,201100200200000-98FD92E,[redacted],[redacted],[redacted],[redacted],,312 Courthouse Square,,Bay Minette,AL,"=""36507""",county,Baldwin County,Baldwin,County,Baldwin,http://www.baldwincountyal.gov/,251-580-2564,322 Courthouse Square,Bay Minette,AL,"=""36507""",218289.0,09-Dec-2022,SAME
3,201100400400000-119-QNK9F2,201100400400000,Head of Facilities Management,County Engineer,201100400400000-3915517,[redacted],[redacted],[redacted],[redacted],,10651 Hwy 5,,Brent,AL,"=""35034""",county,Bibb County,Bibb,County,Bibb,http://www.bibbal.com/,205-926-3114,157 SW Davidson Drive,Centreville,AL,"=""35042""",22374.0,10-Mar-2023,SAME
4,201100500500000-119-QNK9F2,201100500500000,Head of Facilities Management,County Engineer,201100500500000-92356B4,[redacted],[redacted],[redacted],[redacted],,6338 2nd Avenue West,,Oneonta,AL,"=""35121""",county,Blount County,Blount,County,Blount,https://www.blountcountyal.gov/,205-625-6868,220 2nd Ave E,Oneonta,AL,"=""35121""",57755.0,10-Mar-2023,SAME
5,201100700700000-119-QNK9F2,201100700700000,Head of Facilities Management,County Engineer,201100700700000-A318D8A,[redacted],[redacted],[redacted],[redacted],,PO Box 756,,Greenville,AL,"=""36037""",county,Butler County,Butler,County,Butler,http://butlercountyal.com/,334-382-3612,700 Court Sq,Greenville,AL,"=""36037""",19726.0,10-Mar-2023,SAME
6,201100800800000-119-QNK9F2,201100800800000,Head of Facilities Management,County Administrator,201100800800000-6CFFCAA,[redacted],[redacted],[redacted],[redacted],,1702 Noble Street,Suite 103,Anniston,AL,"=""36201""",county,Calhoun County,Calhoun,County,Calhoun,https://www.calhouncounty.org/,256-241-2800,1702 Noble Street,Anniston,AL,"=""36201""",114324.0,10-Mar-2023,SAME
7,201100900900000-119-QNK9F2,201100900900000,Head of Facilities Management,"Chairman, County Commission",201100900900000-BB26310,[redacted],[redacted],[redacted],[redacted],,3303 County Road 388,,Valley,AL,"=""36854""",county,Chambers County,Chambers,County,Chambers,http://www.chamberscountyal.gov/,334-864-4341,2 South Lafayette Street,Lafayette,AL,"=""36862""",33427.0,13-May-2023,SAME
8,201101101100000-119-QNK9F2,201101101100000,Head of Facilities Management,"Chairman, County Commission",201101101100000-0764827,[redacted],[redacted],[redacted],[redacted],,1911 2nd Avenue,,Clanton,AL,"=""35045""",county,Chilton County,Chilton,County,Chilton,https://chiltoncounty.org,205-755-1551,500 2nd Avenue North,Clanton,AL,"=""35045""",44147.0,10-Mar-2023,SAME
9,201101201200000-119-QNK9F2,201101201200000,Head of Facilities Management,Probate Judge,201101201200000-87465D1,[redacted],[redacted],[redacted],[redacted],,117 S Mulberry Avenue,,Butler,AL,"=""36904""",county,Choctaw County,Choctaw,County,Choctaw,No Website Found,205-459-2100,117 S Mulberry Avenue,Butler,AL,"=""36904""",12755.0,10-Mar-2023,SAME
10,201101301300000-119-QNK9F2,201101301300000,Head of Facilities Management,"Chairman, County Commission",201101301300000-FA76BFC,[redacted],[redacted],[redacted],[redacted],,PO Box 548,,Grove Hill,AL,"=""36451""",county,Clarke County,Clarke,County,Clarke,http://www.clarkecountyal.com,251-275-3507,114 Court Street,Grove Hill,AL,"=""36451""",23866.0,10-Mar-2023,SAME
